Question ID,Topic,Term,Has EN,Has AR,Has UR,Status,English Text (first 100 chars)
"AL-01","alertness","hint","false","true","false","missingEnglish",""
"AL-02","alertness","hint","false","true","false","missingEnglish",""
"AL-03","alertness","hint","false","true","false","missingEnglish",""
"AL-04","alertness","hint","false","true","false","missingEnglish",""
"AL-05","alertness","hint","false","true","false","missingEnglish",""
"AL-06","alertness","hint","false","true","false","missingEnglish",""
"AL-07","alertness","hint","false","true","false","missingEnglish",""
"AL-08","alertness","hint","false","true","false","missingEnglish",""
"AL-09","alertness","hint","false","true","false","missingEnglish",""
"AL-10","alertness","hint","false","true","false","missingEnglish",""
"AL-11","alertness","hint","false","true","false","missingEnglish",""
"AL-12","alertness","hint","false","true","false","missingEnglish",""
"AL-13","alertness","hint","false","true","false","missingEnglish",""
"AL-14","alertness","hint","false","true","false","missingEnglish",""
"AL-15","alertness","hint","false","true","false","missingEnglish",""
"AL-16","alertness","hint","false","true","false","missingEnglish",""
"AL-17","alertness","hint","false","true","false","missingEnglish",""
"AL-18","alertness","hint","false","true","false","missingEnglish",""
"AL-19","alertness","hint","false","true","false","missingEnglish",""
"AL-20","alertness","hint","false","true","false","missingEnglish",""
"AL-21","alertness","hint","false","true","false","missingEnglish",""
"AL-22","alertness","hint","false","true","false","missingEnglish",""
"AL-23","alertness","hint","false","true","false","missingEnglish",""
"AL-24","alertness","hint","false","true","false","missingEnglish",""
"AL-25","alertness","hint","false","true","false","missingEnglish",""
"AL-26","alertness","hint","false","true","false","missingEnglish",""
"HZ-01","hazard-awareness","hint-HZ-01","false","true","true","missingEnglish",""
"HZ-02","hazard-awareness","hint-HZ-02","false","true","false","missingEnglish",""
"HZ-03","hazard-awareness","hint-HZ-03","false","true","false","missingEnglish",""
"HZ-04","hazard-awareness","hint-HZ-04","false","true","false","missingEnglish",""
"HZ-05","hazard-awareness","hint-HZ-05","false","true","false","missingEnglish",""
"HZ-06","hazard-awareness","hint-HZ-06","false","true","false","missingEnglish",""
"HZ-07","hazard-awareness","hint-HZ-07","false","true","false","missingEnglish",""
"HZ-08","hazard-awareness","hint-HZ-08","false","true","false","missingEnglish",""
"HZ-09","hazard-awareness","hint-HZ-09","false","true","false","missingEnglish",""
"HZ-10","hazard-awareness","hint-HZ-10","false","true","false","missingEnglish",""
"HZ-11","hazard-awareness","hint-HZ-11","false","true","false","missingEnglish",""
"HZ-12","hazard-awareness","hint-HZ-12","false","true","false","missingEnglish",""
"HZ-13","hazard-awareness","hint-HZ-13","false","true","false","missingEnglish",""
"HZ-14","hazard-awareness","hint-HZ-14","false","true","false","missingEnglish",""
"HZ-15","hazard-awareness","hint-HZ-15","false","true","false","missingEnglish",""
"HZ-16","hazard-awareness","hint-HZ-16","false","true","false","missingEnglish",""
"HZ-17","hazard-awareness","hint-HZ-17","false","true","false","missingEnglish",""
"HZ-18","hazard-awareness","hint-HZ-18","false","true","false","missingEnglish",""
"HZ-19","hazard-awareness","hint-HZ-19","false","true","false","missingEnglish",""
"HZ-20","hazard-awareness","hint-HZ-20","false","true","false","missingEnglish",""
"HZ-21","hazard-awareness","hint-HZ-21","false","true","false","missingEnglish",""
"HZ-22","hazard-awareness","hint-HZ-22","false","true","false","missingEnglish",""
"HZ-23","hazard-awareness","hint-HZ-23","false","true","false","missingEnglish",""
"HZ-24","hazard-awareness","hint-HZ-24","false","true","false","missingEnglish",""
"HZ-25","hazard-awareness","hint-HZ-25","false","true","false","missingEnglish",""
"HZ-26","hazard-awareness","hint-HZ-26","false","true","false","missingEnglish",""
"HZ-27","hazard-awareness","hint-HZ-27","false","true","false","missingEnglish",""
"HZ-28","hazard-awareness","hint-HZ-28","false","true","false","missingEnglish",""
"HZ-29","hazard-awareness","hint-HZ-29","false","true","false","missingEnglish",""
"HZ-30","hazard-awareness","hint-HZ-30","false","true","false","missingEnglish",""
"HZ-31","hazard-awareness","hint-HZ-31","false","true","false","missingEnglish",""
"HZ-32","hazard-awareness","hint-HZ-32","false","true","false","missingEnglish",""
"HZ-33","hazard-awareness","hint-HZ-33","false","true","false","missingEnglish",""
"HZ-34","hazard-awareness","hint-HZ-34","true","false","false","needsBoth","Wearing glasses always maintains clear vision in all conditions."
"HZ-35","hazard-awareness","hint-HZ-35","true","false","false","needsBoth","Alcohol impairs judgement and control, significantly increasing accident risk."
"HZ-36","hazard-awareness","hint-HZ-36","true","false","false","needsBoth","Stopped buses may hide pedestrians crossing in front."
"HZ-37","hazard-awareness","hint-HZ-37","true","false","false","needsBoth","Left-hand bends may contain mud or debris from farm vehicles."
"HZ-38","hazard-awareness","hint-HZ-38","true","false","false","needsBoth","Drugs reduce concentration and awareness, threatening road safety."
"HZ-39","hazard-awareness","hint-HZ-39","true","false","false","needsBoth","Spray from large lorries reduces visibility and increases accident risk."
"HZ-40","hazard-awareness","hint-HZ-40","true","false","false","needsBoth","Tinted lenses reduce light amount and make night vision harder."
"HZ-41","hazard-awareness","hint-HZ-41","true","false","false","needsBoth","When traffic lights fail, treat it as an unmarked junction with extra caution."
"HZ-42","hazard-awareness","hint-HZ-42","true","false","false","needsBoth","Older drivers may need more time to react, so give them space."
"HZ-43","hazard-awareness","hint-HZ-43","true","false","false","needsBoth","Continuous signalling may mean the driver forgot to cancel it or there's a problem."
"HZ-44","hazard-awareness","hint-HZ-44","true","false","false","needsBoth","Sharp bend signs warn of sudden bends requiring speed reduction."
"HZ-45","hazard-awareness","hint-HZ-45","true","false","false","needsBoth","Narrow bridges require readiness to give way to large vehicles."
"HZ-46","hazard-awareness","hint-HZ-46","true","false","false","needsBoth","Stopping and resting when drowsy prevents accidents from falling asleep at the wheel."
"HZ-47","hazard-awareness","hint-HZ-47","true","false","false","needsBoth","Hazard lights are only used when the vehicle breaks down and obstructs traffic."
"HZ-48","hazard-awareness","hint-HZ-48","true","false","false","needsBoth","Large lorries may need to use the middle of narrow roads to pass."
"HZ-49","hazard-awareness","hint-HZ-49","true","false","false","needsBoth","Regular breaks maintain concentration and reduce fatigue on long journeys."
"HZ-50","hazard-awareness","hint-HZ-50","true","false","false","needsBoth","Avoiding driving when medicine causes drowsiness prevents serious accidents."
"HZ-51","hazard-awareness","hint-HZ-51","true","false","false","needsBoth","Reflective markers on large goods vehicles help you see them in the dark."
"HZ-52","hazard-awareness","hint-HZ-52","true","false","false","needsBoth","Driving at reduced speed in traffic-calmed areas protects pedestrians and cyclists."
"HZ-53","hazard-awareness","hint-HZ-53","true","false","false","needsBoth","Letting someone else drive when taking medicine that affects driving maintains safety."
"HZ-54","hazard-awareness","hint-HZ-54","true","false","false","needsBoth","Large buses need more space on narrow bridges."
"HZ-55","hazard-awareness","hint-HZ-55","true","false","false","needsBoth","Overtaking near junctions is dangerous due to traffic from multiple directions."
"HZ-56","hazard-awareness","hint-HZ-56","true","false","false","needsBoth","Parked cars on bends may hide pedestrians stepping out suddenly."
"HZ-57","hazard-awareness","hint-HZ-57","true","false","false","needsBoth","Limited visibility at junctions increases accident risk with hidden traffic."
"HZ-58","hazard-awareness","hint-HZ-58","true","false","false","needsBoth","Alcohol increases confidence dangerously and reduces sound judgement."
"HZ-59","hazard-awareness","hint-HZ-59","true","false","false","needsBoth","Parked car doors may open suddenly and cause serious accidents."
"HZ-60","hazard-awareness","hint-HZ-60","true","false","false","needsBoth","Stopping driving when ill keeps everyone safe."
"HZ-61","hazard-awareness","hint-HZ-61","true","false","false","needsBoth","Avoiding alcohol completely when planning to drive prevents driving under influence."
"HZ-62","hazard-awareness","hint-HZ-62","true","false","false","needsBoth","Children in residential streets may run out suddenly from between parked cars."
"HZ-63","hazard-awareness","hint-HZ-63","true","false","false","needsBoth","Stopping safely as soon as possible when drowsy on motorways prevents accidents."
"HZ-64","hazard-awareness","hint-HZ-64","true","false","false","needsBoth","Checking medicine labels before driving prevents driving under dangerous substances."
"HZ-65","hazard-awareness","hint-HZ-65","true","false","false","needsBoth","Roadworks require speed reduction and attention to workers and vehicles."
"HZ-66","hazard-awareness","hint-HZ-66","true","false","false","needsBoth","Hazard lights are used to warn traffic of a breakdown causing obstruction."
"HZ-67","hazard-awareness","hint-HZ-67","true","false","false","needsBoth","Drink or drug-driving convictions significantly increase insurance costs."
"HZ-68","hazard-awareness","hint-HZ-68","true","false","false","needsBoth","Cyclists near junctions may swerve suddenly into the road."
"HZ-69","hazard-awareness","hint-HZ-69","true","false","false","needsBoth","Regular breaks improve concentration and reduce accident risk on long journeys."
"HZ-70","hazard-awareness","hint-HZ-70","true","false","false","needsBoth","Rushing on long drives increases fatigue and errors, threatening safety."
"HZ-71","hazard-awareness","hint-HZ-71","true","false","false","needsBoth","Kick-down in automatic cars is used for quick acceleration."
"HZ-72","hazard-awareness","hint-HZ-72","true","false","false","needsBoth","Using the right-hand lane for overtaking on multi-lane motorways is the rule."
"HZ-73","hazard-awareness","hint-HZ-73","true","false","false","needsBoth","Water pooling on roads increases risk of aquaplaning and loss of control."
"HZ-74","hazard-awareness","hint-HZ-74","true","false","false","needsBoth","Pedestrians distracted by phones may step into the road without looking."
"HZ-75","hazard-awareness","hint-HZ-75","true","false","false","needsBoth","Slowing down and passing wide when seeing horse riders keeps everyone safe."
"HZ-76","hazard-awareness","hint-HZ-76","true","false","false","needsBoth","Increasing following distance when seeing a vehicle swerve suddenly gives you time to react."
"HZ-77","hazard-awareness","hint-HZ-77","true","false","false","needsBoth","Large vehicles need more space to turn and may swing out first."
"HZ-78","hazard-awareness","hint-HZ-78","true","false","false","needsBoth","Large vehicles may need to use the middle of the road to turn."
"HZ-79","hazard-awareness","hint-HZ-79","true","false","false","needsBoth","Large vehicles may swing right before turning left to get space."
"HZ-80","hazard-awareness","hint-HZ-80","true","false","false","needsBoth","Slowing down before sharp bends on wet roads prevents skidding."
"SM-01","safety-margins","hint-SM-01","true","false","false","needsBoth","Sudden acceleration or braking causes skidding, especially on wet or icy roads."
"SM-02","safety-margins","hint-SM-02","true","false","false","needsBoth","Dipped headlights improve visibility in wet weather without dazzling other drivers."
"SM-03","safety-margins","hint-SM-03","true","false","false","needsBoth","Coasting reduces control and increases stopping distance, especially on hills."
"SM-04","safety-margins","hint-SM-04","true","false","false","needsBoth","Correct positioning before bends gives you better visibility and more time to react to hazards."
"SM-05","safety-margins","hint-SM-05","true","false","false","needsBoth","Turning wheels towards the kerb prevents the car from rolling if brakes fail."
"SM-06","safety-margins","hint-SM-06","true","false","false","needsBoth","Slowing down before speed humps maintains control and protects your vehicle and pedestrians."
"SM-07","safety-margins","hint-SM-07","true","false","false","needsBoth","Increasing the gap ahead gives you extra time for gradual braking and avoids collisions."
"SM-08","safety-margins","hint-SM-08","true","false","false","needsBoth","ABS prevents wheel lock-up, allowing firm braking while maintaining steering ability."
"SM-09","safety-margins","hint-SM-09","true","false","false","needsBoth","Icy roads reduce friction, making tyres quieter and dramatically increasing stopping distance."
"SM-10","safety-margins","hint-SM-10","true","false","false","needsBoth","Gradual braking before bends in freezing conditions maintains grip and reduces skidding risk."
"SM-11","safety-margins","hint-SM-11","true","false","false","needsBoth","ABS works best with firm, continuous pressure, reducing stopping distance."
"SM-12","safety-margins","hint-SM-12","true","false","false","needsBoth","Loss of grip on wet roads reduces control and increases aquaplaning risk."
"SM-13","safety-margins","hint-SM-13","true","false","false","needsBoth","Strong winds push cyclists unpredictably, so leave extra side space when overtaking."
"SM-14","safety-margins","hint-SM-14","true","false","false","needsBoth","Early, gentle braking on snow maintains grip and reduces skidding risk."
"SM-15","safety-margins","hint-SM-15","true","false","false","needsBoth","High gear reduces torque, preventing wheelspin on ice."
"SM-16","safety-margins","hint-SM-16","true","false","false","needsBoth","Lower gear uses engine resistance to slow the car safely, especially on hills."
"SM-17","safety-margins","hint-SM-17","true","false","false","needsBoth","Open roads allow winds to reach with greater force, requiring extra care in control."
"SM-18","safety-margins","hint-SM-18","true","false","false","needsBoth","Extra time allows slow, safe driving in fog, reducing collision risk."
"SM-19","safety-margins","hint-SM-19","true","false","false","needsBoth","Dropping back to rebuild safe distance on wet roads gives you enough time to brake safely."
"SM-20","safety-margins","hint-SM-20","true","false","false","needsBoth","Four-wheel drive improves grip on slippery roads, but doesn't reduce stopping distance."
"SM-21","safety-margins","hint-SM-21","true","false","false","needsBoth","Higher gear reduces torque, preventing wheelspin when moving off on snow."
"SM-22","safety-margins","hint-SM-22","true","false","false","needsBoth","After safely passing the hazard, gradual acceleration returns to normal speed without surprises."
"SM-23","safety-margins","hint-SM-23","true","false","false","needsBoth","The two-second rule gives you enough time to react and brake safely in dry conditions."
"SM-24","safety-margins","hint-SM-24","true","false","false","needsBoth","ESC light flashing means the system is working to correct skidding and improve control."
"SM-25","safety-margins","hint-SM-25","true","false","false","needsBoth","Soft roads in very hot weather reduce grip and can increase stopping distance."
"SM-26","safety-margins","hint-SM-26","true","false","false","needsBoth","Strong winds push motorcycles unpredictably, so leave extra side space."
"SM-27","safety-margins","hint-SM-27","true","false","false","needsBoth","Gentle braking after driving through water dries the brakes and checks they work safely."
"SM-28","safety-margins","hint-SM-28","true","false","false","needsBoth","Loose surfaces like gravel reduce ABS effectiveness because wheels need to lock to create shorter st"
"SM-29","safety-margins","hint-SM-29","true","false","false","needsBoth","Safe distance in fog gives you more time to react to hidden hazards."
"SM-30","safety-margins","hint-SM-30","true","false","false","needsBoth","Clear windows are essential for good visibility, improving safety in freezing weather."
"SM-31","safety-margins","hint-SM-31","true","false","false","needsBoth","Choosing your lane early in contraflow systems gives you time to react and reduces dangerous lane ch"
"SM-32","safety-margins","hint-SM-32","true","false","false","needsBoth","Ice dramatically reduces friction, increasing stopping distance more than any other weather conditio"
"SM-33","safety-margins","hint-SM-33","true","false","false","needsBoth","Ice dramatically reduces friction, making stopping distance ten times longer than on dry roads."
"SM-34","safety-margins","hint-SM-34","true","false","false","needsBoth","Low gear with gentle braking uses engine braking and maintains control on hills."
"RR-01","rules-of-the-road","hint","true","false","false","needsBoth","These markers are often used near hidden hazards."
"RR-02","rules-of-the-road","hint","true","false","false","needsBoth","Never overtake if you're unsure."
"RR-03","rules-of-the-road","hint","true","false","false","needsBoth","This applies when no lower limit is signed."
"RR-04","rules-of-the-road","hint","true","false","false","needsBoth","Avoid dazzling other drivers."
"RR-05","rules-of-the-road","hint","true","false","false","needsBoth","Pavements are mainly for pedestrians."
"VU-01","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-02","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-03","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-04","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-05","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-06","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-07","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-08","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-09","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-10","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-11","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-12","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-13","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-14","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-15","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-16","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-17","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-18","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-19","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-20","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-21","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-22","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-23","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-24","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-25","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-26","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-27","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-28","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-29","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-30","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-31","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-32","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-33","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-34","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-35","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-36","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-37","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-38","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-39","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-40","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-41","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-42","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-43","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-44","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-45","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-46","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-47","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-48","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-49","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-50","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-51","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-52","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-53","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-54","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-55","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-56","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-57","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-58","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-59","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-60","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-61","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-62","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-63","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-64","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-65","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-66","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-67","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-68","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-69","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-70","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VU-71","vulnerable-road-users","hint","false","true","false","missingEnglish",""
"VH-01","vehicle-handling","hint","false","true","false","missingEnglish",""
"VH-02","vehicle-handling","hint","false","true","false","missingEnglish",""
"VH-03","vehicle-handling","hint","false","true","false","missingEnglish",""
"VH-04","vehicle-handling","hint","false","true","false","missingEnglish",""
"VH-05","vehicle-handling","hint","false","true","false","missingEnglish",""
"VH-06","vehicle-handling","hint","false","true","false","missingEnglish",""
"VH-07","vehicle-handling","hint","false","true","false","missingEnglish",""
"VH-08","vehicle-handling","hint","false","true","false","missingEnglish",""
"IN-01","incidents","hint","true","false","false","needsBoth","Leaving the tunnel reduces danger to others."
"IN-02","incidents","hint","true","false","false","needsBoth","Removing a helmet incorrectly can worsen injuries."
"IN-03","incidents","hint","true","false","false","needsBoth","Headlights improve visibility for everyone."
"IN-04","incidents","hint","true","false","false","needsBoth","Correct depth is vital for circulation."
"IN-05","incidents","hint","true","false","false","needsBoth","Personal safety comes first."
"IN-06","incidents","hint","true","false","false","needsBoth","Airway first, then breathing."
"IN-07","incidents","hint","true","false","false","needsBoth","Distance gives other drivers time to react."
"IN-08","incidents","hint","true","false","false","needsBoth","Calm reassurance reduces stress."
"DC-01","documents","hint","true","false","false","needsBoth","You may only drive directly to a booked test."
"DC-02","documents","hint","true","false","false","needsBoth","New cars have an MOT exemption period."
"DC-03","documents","hint","true","false","false","needsBoth","This is known as a \"
"DC-04","documents","hint","true","false","false","needsBoth","SORN vehicles must not be used on public roads."
"DC-05","documents","hint","true","false","false","needsBoth","Responsibility stays with the keeper."
"DC-06","documents","hint","true","false","false","needsBoth","MOTs must be renewed annually."
"DC-07","documents","hint","true","false","false","needsBoth","New drivers have stricter rules."
"DC-08","documents","hint","true","false","false","needsBoth","Police can request proof at any time."
"DC-09","documents","hint","true","false","false","needsBoth","Age and experience both matter."
"DC-10","documents","hint","true","false","false","needsBoth","Licence comes before anything else."
"DC-11","documents","hint","true","false","false","needsBoth","Insurance is checked automatically."
"DC-12","documents","hint","true","false","false","needsBoth","It protects others, not you."
"DC-13","documents","hint","true","false","false","needsBoth","There's no upper financial limit."
"DC-14","documents","hint","true","false","false","needsBoth","Insurance is required before vehicle tax."
"DC-15","documents","hint","true","false","false","needsBoth","SORN ends when the vehicle status changes."
"DC-16","documents","hint","true","false","false","needsBoth","Responsibility stays with the keeper."
"DC-17","documents","hint","true","false","false","needsBoth","Third-party is the minimum."
"DC-18","documents","hint","true","false","false","needsBoth","Extra training can lower premiums."
"DC-19","documents","hint","true","false","false","needsBoth","It protects others, not you."
"DC-20","documents","hint","true","false","false","needsBoth","Insurance may become invalid."
"DC-21","documents","hint","true","false","false","needsBoth","Insurance applies to all drivers."
"DC-22","documents","hint","true","false","false","needsBoth","Medical conditions must be reported."
"DC-23","documents","hint","true","false","false","needsBoth","Ownership changes must be reported."
"DC-24","documents","hint","true","false","false","needsBoth","The keeper is officially recorded."
"DC-25","documents","hint","true","false","false","needsBoth","Insurance must cover you as a driver."
"DC-26","documents","hint","true","false","false","needsBoth","Excess is the amount you pay first."
"DC-27","documents","hint","true","false","false","needsBoth","Address changes must be updated."
"MW-01","motorway-driving","hint","true","false","false","needsBoth","The hard shoulder is for emergencies only."
"MW-02","motorway-driving","hint","true","false","false","needsBoth","Stopping is only allowed when instructed or in emergencies."
"MW-03","motorway-driving","hint","true","false","false","needsBoth","Higher speeds require longer forward observation."
"MW-04","motorway-driving","hint","true","false","false","needsBoth","Right lanes are for overtaking only."
"MW-05","motorway-driving","hint","true","false","false","needsBoth","Emergency areas are not rest stops."
"MW-06","motorway-driving","hint","true","false","false","needsBoth","Amber studs separate the motorway from slip roads."
"MW-07","motorway-driving","hint","true","false","false","needsBoth","Marker posts help emergency services locate you."
"MW-08","motorway-driving","hint","true","false","false","needsBoth","Temporary speed limits are mandatory."
"MW-09","motorway-driving","hint","true","false","false","needsBoth","A speed limit above means the lane is active."
"MW-10","motorway-driving","hint","true","false","false","needsBoth","It's a warning of sudden danger ahead."
"OV-01","other-vehicles","hint","true","false","false","needsBoth","Large vehicles can hide smaller vehicles behind them."
"OV-02","other-vehicles","hint","true","false","false","needsBoth","Giving way prevents sudden collisions."
"OV-03","other-vehicles","hint","true","false","false","needsBoth","Wind can push cyclists sideways."
"OV-04","other-vehicles","hint","true","false","false","needsBoth","Extended mirrors improve visibility past the caravan."
"OV-05","other-vehicles","hint","true","false","false","needsBoth","Pedestrians may cross in front of buses."
"OV-06","other-vehicles","hint","true","false","false","needsBoth","Large vehicles need extra space to turn."
"OV-07","other-vehicles","hint","true","false","false","needsBoth","Dipped headlights reduce glare."
"OV-08","other-vehicles","hint","true","false","false","needsBoth","Sudden gusts can affect balance."
"OV-09","other-vehicles","hint","true","false","false","needsBoth","Warning signs indicate increased risk."
"OV-10","other-vehicles","hint","true","false","false","needsBoth","Long vehicles swing wide before turning."
"OV-11","other-vehicles","hint","true","false","false","needsBoth","Visibility improves decision-making."
"OV-12","other-vehicles","hint","true","false","false","needsBoth","Give long vehicles space to manoeuvre."
"OV-13","other-vehicles","hint","true","false","false","needsBoth","Length increases exposure time."
"OV-14","other-vehicles","hint","true","false","false","needsBoth","Patience reduces risk."
"OV-15","other-vehicles","hint","true","false","false","needsBoth","Turning space is needed."
"OV-16","other-vehicles","hint","true","false","false","needsBoth","Trams run on fixed tracks."
"OV-17","other-vehicles","hint","true","false","false","needsBoth","Always maintain safe distance."
"OV-18","other-vehicles","hint","true","false","false","needsBoth","Pedestrians may step out suddenly."
"OV-19","other-vehicles","hint","true","false","false","needsBoth","Distance improves visibility."
"OV-20","other-vehicles","hint","true","false","false","needsBoth","Give priority to buses when safe."
"OV-21","other-vehicles","hint","true","false","false","needsBoth","Distance reduces spray."
"OV-22","other-vehicles","hint","true","false","false","needsBoth","Heavier vehicles are more stable."
"VL-01","vehicle-loading","hint","true","false","false","needsBoth","Manufacturer limits are always listed in the handbook."
"VL-02","vehicle-loading","hint","true","false","false","needsBoth","High loads raise the centre of gravity."
"VL-03","vehicle-loading","hint","true","false","false","needsBoth","Young children must always use approved child seats."
"VL-04","vehicle-loading","hint","true","false","false","needsBoth","All trailer lights must work before travel."
"VL-05","vehicle-loading","hint","true","false","false","needsBoth","You must be able to see clearly behind."
"VL-06","vehicle-loading","hint","true","false","false","needsBoth","It applies the brakes if the trailer detaches."
"VL-07","vehicle-loading","hint","true","false","false","needsBoth","Stabilisers reduce trailer sway."
"VL-08","vehicle-loading","hint","true","false","false","needsBoth","Responsibility always lies with the driver."
"VL-09","vehicle-loading","hint","true","false","false","needsBoth","Never exceed the stated MAM."
"VL-10","vehicle-loading","hint","true","false","false","needsBoth","Secondary couplings add safety."
"VL-11","vehicle-loading","hint","true","false","false","needsBoth","Heavy loads affect balance and control."
"VL-12","vehicle-loading","hint","true","false","false","needsBoth","Training improves safety and confidence."
"VL-13","vehicle-loading","hint","true","false","false","needsBoth","Always check licence limits."
"VL-14","vehicle-loading","hint","true","false","false","needsBoth","Gentle speed reduction helps regain control."
"VL-15","vehicle-loading","hint","true","false","false","needsBoth","Trailers must stay out of the right lane."
